gid;name;number_;address;open;available;free;total;ticket;updated_at;globalid;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
901831;251_ARQUITECTO_SEGURA_LAGO_CAMINO_NUEVO_DE_PICAÑA;251;Arquitecto Segura del Lago - Camino Nuevo de Picaña;T;2;13;15;T;28/11/2022 10:51:09;{068DEBA4-13E3-448A-A784-4D4E17676AD5};;;;;"{""coordinates"": [-0.4044134972721287, 39.45583028505104], ""type"": ""Point""}";39.45583028505104,-0.4044134972721287
901791;211_CALLE_FRAY_JUNÍPERO_SERRA_ESQ_CALLE_VALL_D'UIX;211;Fray Junípero Serra - Vall d'Uixó;T;1;14;15;F;28/11/2022 10:51:09;{A318E941-4A15-4C46-B549-20BDEBF74990};;;;;"{""coordinates"": [-0.3977574716661004, 39.45872629171394], ""type"": ""Point""}";39.45872629171394,-0.3977574716661004
901795;215_CALLE_MUSICO_AYLLON_ESQ_CALLE_FRANCISCO_DOLZ;215;Músico Ayllón - Francisco Dolz;T;3;12;15;T;28/11/2022 10:51:09;{19A2533B-091D-4766-B0E3-84FAD57DD424};;;;;"{""coordinates"": [-0.39674846254882856, 39.46567131414367], ""type"": ""Point""}";39.46567131414367,-0.39674846254882856
901799;219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ;219;Castán Tobeñas - Rincon de Ademuz;T;9;9;18;F;28/11/2022 10:51:09;{CBF17FCE-568D-4637-AFA2-22C0E50987BF};;;;;"{""coordinates"": [-0.40303029799024204, 39.47265724610551], ""type"": ""Point""}";39.47265724610551,-0.40303029799024204
901811;231_CALLE_DE_ALCAÑIZ_ESQ_CALLE_CAMBRILS;231;Alcañiz - Cambrils;T;0;15;15;T;28/11/2022 10:51:09;{ABE12121-73CF-4DAB-8B98-672E70289531};;;;;"{""coordinates"": [-0.3786213772644184, 39.49507240298451], ""type"": ""Point""}";39.49507240298451,-0.3786213772644184
901792;212_CALLE_FRAY_JUANÍPERO_SERRA_ESQ_CALLE_TORRENTE;212;Fray Juanípero Serra - Torrente;T;0;15;15;T;28/11/2022 10:51:09;{B855DA0F-5E95-41D4-A26A-2D98A05A3CB7};;;;;"{""coordinates"": [-0.40039647823746194, 39.46148430130945], ""type"": ""Point""}";39.46148430130945,-0.40039647823746194
901796;216_AVDA_DEL_CID_ESQ_CALLE_BURGOS;216;Av. del Cid - Burgos;T;2;15;17;F;28/11/2022 10:51:09;{6F47FA74-9783-4A42-8675-3086D0759E73};;;;;"{""coordinates"": [-0.3994613007254756, 39.469162243634074], ""type"": ""Point""}";39.469162243634074,-0.3994613007254756
901810;230_CALLE_POETA_SERRANO_CLAVERO_EQ_GENERAL_LLORENS;230;Poeta Serrano Clavero - General Llorens;T;3;12;15;F;28/11/2022 10:51:09;{67C10CDD-5790-4193-AA50-BE37FD09F210};;;;;"{""coordinates"": [-0.38678440634001116, 39.49475040560395], ""type"": ""Point""}";39.49475040560395,-0.38678440634001116
901812;232_SAN_VICENTE_DE_PAUL_SANTIAGO_RUSIÑOL;232;San Vicente Paul - Santiago Rusiñol;T;10;4;15;T;28/11/2022 10:51:09;{7287C2B3-1BEC-44D9-A401-E1171171C1F2};;;;;"{""coordinates"": [-0.36575333473149996, 39.49464439592328], ""type"": ""Point""}";39.49464439592328,-0.36575333473149996
901837;257_PLAZA_SALVADOR_SORIA_ESQ_PIO_X;257;Plaza Salvador Soria, 8;T;1;19;20;F;28/11/2022 10:51:09;{45A101A6-08AF-4D05-AC68-D4B114D65A01};;;;;"{""coordinates"": [-0.38910445245389036, 39.44525124234686], ""type"": ""Point""}";39.44525124234686,-0.38910445245389036
901839;259_CALLE_PIO_IX_POLIDEPORTIVO_RAMBLETA;259;Pio IX - Músico Cabanilles;T;2;18;20;T;28/11/2022 10:51:09;{AF019CEC-0648-44D9-B867-AF5368AFB308};;;;;"{""coordinates"": [-0.3930154660803912, 39.44546024514969], ""type"": ""Point""}";39.44546024514969,-0.3930154660803912
901844;264_AVDA_CID_ANTES_MARCONI;264;Av. del Cid - Marconi;T;0;20;20;T;28/11/2022 10:51:09;{AF111BF4-F326-44CF-B082-4126D1915AAB};;;;;"{""coordinates"": [-0.4144325204450301, 39.46916033373618], ""type"": ""Point""}";39.46916033373618,-0.4144325204450301
901848;268_PZA_LUIS_CANO_5;268;Plaza Luis Cano, 5;T;1;9;10;T;28/11/2022 10:51:09;{39875376-7FE6-4508-943F-48F7B98D3CF4};;;;;"{""coordinates"": [-0.41849350927046264, 39.50144544298018], ""type"": ""Point""}";39.50144544298018,-0.41849350927046264
901856;276_EDIFICIO_VELES_E_VENTS;276;Veles e Vents;T;12;8;20;T;28/11/2022 10:51:09;{B13CDA5D-A3AD-4B8A-A31F-22471B98316E};;;;;"{""coordinates"": [-0.32376521655842594, 39.46197526682713], ""type"": ""Point""}";39.46197526682713,-0.32376521655842594
